Órgão,Cod. Solicitação Aquisição,Razão Social,Num. CPF/CNPJ,Qtd. Itens Adquiridos,Valor Total (R$),Objeto da Licitação,Item Solicitação Aquisição (Valor Unitário Adjudicado),Item Solicitação Aquisição (Qtde Item) * Item Solicitação Aquisição (Valor Unitário Adjudicado) *  CASE  WHEN Item Solicitação Aquisição (Qtde Periodo Contrato) >,Data da Solicitação
ABC,74438,CENTRO DE INTEGRAÇÃO EMPRESA ESCOLA,61600839000902,12,816,"REFERE-SE CONTRATO COM A EMPRESA CENTRO DE INTEGRAÇÃO EMPRESA ESCOLA CIEE, COM OBJETO DE TAXA ADMINISTRATIVA DA CESSÃO DE 08 (OITO) ESTAGIÁRIOS DE NÍVEL SUPERIOR, POR PERÍODO DE 12 (DOZE) MESES, CONFORME DESPACHO N. 044/2020-DRH, CONFORME ATA DE PREÇOS N. 001/2019  SEAD/GEAC E O DECRETO Nº 9.496 DE 14 DE AGOSTO DE 2019.",68,816,2020-01-23
ABC,74442,AGÊNCIA GOIANA DE COMUNICAÇÃO,3520902000147,8,96000,"REFERE-SE CONTRATO COM A EMPRESA CENTRO DE INTEGRAÇÃO EMPRESA ESCOLA CIEE, COM OBJETO BOLSA ESTAGIO A CESSÃO DE 08 (OITO) ESTAGIÁRIOS DE NÍVEL SUPERIOR, POR PERÍODO DE 12 (DOZE) MESES, CONFORME DESPACHO N. 044/2020-DRH, CONFORME ATA DE PREÇOS N. 001/2019 E O DECRETO Nº 9.496 DE 14 DE AGOSTO DE 2019.",1000,96000,2020-01-24
ABC,74442,NAO INFORMADO,0,8,0,"REFERE-SE CONTRATO COM A EMPRESA CENTRO DE INTEGRAÇÃO EMPRESA ESCOLA CIEE, COM OBJETO BOLSA ESTAGIO A CESSÃO DE 08 (OITO) ESTAGIÁRIOS DE NÍVEL SUPERIOR, POR PERÍODO DE 12 (DOZE) MESES, CONFORME DESPACHO N. 044/2020-DRH, CONFORME ATA DE PREÇOS N. 001/2019 E O DECRETO Nº 9.496 DE 14 DE AGOSTO DE 2019.",0,0,2020-01-24
ABC,74444,AGÊNCIA GOIANA DE COMUNICAÇÃO,3520902000147,8,9600,"REFERE-SE CONTRATO COM A EMPRESA CENTRO DE INTEGRAÇÃO EMPRESA ESCOLA CIEE, COM OBJETO DE AUXÍLIO TRANSPORTE, POR PERÍODO DE 12 (DOZE) MESES, CONFORME DESPACHO N. 044/2020-DRH, CONFORME ATA DE PREÇOS N. 001/2019 E O DECRETO Nº 9.496 DE 14 DE AGOSTO DE 2019.",100,9600,2020-01-24
ABC,74444,NAO INFORMADO,0,8,0,"REFERE-SE CONTRATO COM A EMPRESA CENTRO DE INTEGRAÇÃO EMPRESA ESCOLA CIEE, COM OBJETO DE AUXÍLIO TRANSPORTE, POR PERÍODO DE 12 (DOZE) MESES, CONFORME DESPACHO N. 044/2020-DRH, CONFORME ATA DE PREÇOS N. 001/2019 E O DECRETO Nº 9.496 DE 14 DE AGOSTO DE 2019.",0,0,2020-01-24
ABC,74530,A FORÇA COMERCIAL E SERVIÇOS LTDA - ME,3325530000106,6,"51702,54",RENOVAÇÃO CONTRATUAL POR 6 (SEIS) MESES.,"8617,09","51702,54",2020-01-31
ABC,74530,A FORÇA COMERCIAL E SERVIÇOS LTDA - ME,3325530000106,6,"113761,98",RENOVAÇÃO CONTRATUAL POR 6 (SEIS) MESES.,"18960,33","113761,98",2020-01-31
ABC,74624,-,40432544065192,12,"5549,76",PRORROGAÇÃO POR 12 (DOZE) MESES.,"462,48","5549,76",2020-02-07
ABC,74683,-,34574109000154,420,1491,"PRESTAÇÃO DE SERVIÇO ESPECIALIZADO NA CONFECÇÃO DE CRACHÁS EM PVC, IMPRESSÃO     COLORIDA COM FOTO DIGITALIZADA E FORNECIMENTO DE ITENS ACESSÓRIOS (CORDA DE POLIÉSTER).","3,55",1491,2020-02-12
ABC,74683,-,34574109000154,410,"1824,5","PRESTAÇÃO DE SERVIÇO ESPECIALIZADO NA CONFECÇÃO DE CRACHÁS EM PVC, IMPRESSÃO     COLORIDA COM FOTO DIGITALIZADA E FORNECIMENTO DE ITENS ACESSÓRIOS (CORDA DE POLIÉSTER).","4,45","1824,5",2020-02-12
ABC,74813,-,905760000300,12,834,AQUISIÇÃO DE COPOS DESCARTÁVEIS DESTINADO A ATENDER AS DEMANDAS DA AGÊNCIA BRASIL CENTRAL.,"69,5",834,2020-02-19
